X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_BOHWtZT8.Tumor.SM.CGM6I,15.3,1.73,18.29,16.71,3.25,0.93,16.25,7.61,2.49,15.3,114.8,106.45,15.23,0.9,2.47,27.06,13.88,521.67,13.84,43.14,6.75,144.87,7.69,18.31,110.2,3.02,6.37,16.67,2890.7,226.04,14.36,5.85,11.74,31.4,3.66,58.45,35.23,13.68,3.76,13.68,1.74,70.22,14.34,6.57,42.24,3.38,8.97,5.52,1.56,0.61
MBC.MBCProject_BOHWtZT8.Tumor.SM.CGLQF,12.43,0.9,9.37,9.35,2.34,0.23,6.83,3.11,2.52,9.26,94.29,8.45,7.65,0.03,1,16.2,16,459.28,7.59,18.78,0.1,132.78,4.1,11.78,90.38,1,2.31,9.56,1286.1,125.05,3.97,2.49,5.58,13.13,4.13,79.72,27.3,7.62,1.5,5.55,0.87,32.5,20.7,3.3,38.47,2.57,0.12,0.01,0.65,0.46
MBC.MBCProject_glf3CWFa.Tumor.SM.GQ9N5,20.3,2.25,9.31,12.25,5.17,70.68,5.44,2.41,44.4,6.76,9.7,68.19,2.57,2.26,0.63,42.05,61.39,370.03,8.22,29.03,9.37,72.43,5.92,8.8,209.05,9.79,3.91,731.54,57,16.85,4.32,8.5,5.5,14.47,0.02,0,17.98,2.89,121.23,7.68,12.56,21.16,12.03,9.36,4.96,8.85,11.88,9.95,35.28,4
MBC.MBCProject_epUYsdCE.Tumor.SM.DL3A1,19.03,1.22,14.55,7.16,4.27,7.27,4.59,14.5,48.09,10.73,3.24,132.75,1.53,2.06,0,16.29,123.18,331.01,4.65,32.77,26.45,95.65,9.87,12.78,230.01,12.45,7.79,311.61,37.53,10.81,9.43,4.89,10.07,5.75,0.36,4.36,47.91,13.03,88.01,11.19,17.84,16.93,14.77,5.4,15.17,5.22,12.51,15,46.56,6.53
MBC.MBCProject_pyhbI1H5.Tumor.SM.GQCX6,5.79,0.98,1.35,6.46,5.06,4.53,3.23,6.35,102.32,4.94,2.82,80.92,7.82,0.05,0.59,19.54,9.05,70.53,9.11,19.61,0,24.91,3.7,16.19,83.86,5.58,2.58,60.07,28.34,6.05,6.3,4.8,7.64,8.49,1.04,0.6,18.73,5.38,29.55,12.3,4.08,40.52,2.28,4.08,21.7,9.46,0.14,0.01,10.61,0.8
MBC.MBCProject_brTys8Hl.Tumor.SM.GQCYF,108.6,0,13.01,9.96,3.39,1.03,30.43,4.6,0,44.11,9.24,10.4,82.68,0,0,50.25,9.47,986.4,18.21,59.15,0,173.74,1.82,20.8,170.52,0.22,15.08,50.64,4129.9,1095.4,62.2,62.21,0.53,32.46,14.8,14.82,96.16,18.67,0.55,5.24,0,70.17,2.29,46.6,60.1,260.62,1.54,0,3.11,0
MBC.MBCProject_lXCmTEuv.Tumor.SM.DL4WU,9.55,1.57,14.3,4.87,3.3,35.98,5.16,0.37,89.02,10.09,1.21,263.85,6.25,1.96,1.01,51.35,136.63,362.4,4.86,11.17,18.27,48.46,3.22,6.03,150.49,18.76,3.54,261.46,43.58,11.06,3.5,5.8,10.21,5.98,0.67,0.61,10.35,2.14,21.39,9.71,32.6,8.34,2.66,2.96,6.05,6.77,13.36,17.38,23.42,0.64
MBC.MBCProject_jEhBHrS2.Tumor.SM.CGKTZ,7.06,0.05,7.69,3.79,1.31,0.23,0.62,1.05,2.04,4.1,3.24,27.3,5.89,0.43,1.63,4.33,11.82,44.52,2.9,4.32,10.18,6.15,2.05,3.79,62.19,1.28,0.14,4.81,251.63,47.55,3.64,1.23,4.15,3.32,1.29,3.78,13.9,1.25,0.82,7.81,1.57,5.17,0.4,3.62,1.28,0.54,13.57,7.52,0.01,0.27
MBC.MBCProject_EWubi6hd.Tumor.SM.GQ9PN,40.71,0.91,62.49,5.35,10.94,0.06,0,4.21,0.07,17.04,22.5,150.12,3.15,0.39,1.3,31.52,22.06,25.03,10.42,30.89,0,59.13,18.4,40.34,78.89,8.13,2.22,20.14,653.03,94.59,0.62,4.12,20.59,9.55,3.53,0.27,12.73,12.9,0,0.16,0,19.83,12.75,5.98,22.55,21.43,6.56,0,7.71,0
MBC.MBCProject_Y8H6SghO.Tumor.SM.DL4IE,0.78,2.54,9.86,0.61,0.31,0.72,0.42,0.46,32.59,23.62,0.78,6.29,0.17,2.96,0.44,17.3,15.15,308.31,1.83,4.98,27.53,41.51,4.67,2.52,54.45,10.23,0.2,75.61,58.57,13.29,0.28,0.24,14.81,0.28,1.35,1.76,0.98,0.23,14.83,4.45,4.36,0.74,4.8,0.31,0.5,0.77,26.41,17.04,9.77,2.11
MBC.MBCProject_7AC8CoUL.Tumor.SM.GQ9WK,8.51,1.98,9.46,4.83,2.88,0.86,8.74,3.86,118.12,16.56,4.43,579.24,30.57,1.23,4.59,179.17,38.76,156.75,5.96,11.13,29.63,58.69,3.89,15.02,198.19,23.88,2.56,80.56,159.64,19.98,4.21,7.14,8.77,4.14,0.17,1.82,22.1,3.96,20.22,13.09,40.87,27.14,2.04,0.92,15.67,6.23,40.31,79.39,48.84,1.32
MBC.MBCProject_lQtMtjFR.Tumor.SM.GQCOD,38.63,19.85,127.76,20.63,23.11,0,22.94,37.96,10.42,104.02,112.19,9.19,24.2,16.89,31.8,7.09,29.55,35.77,28.48,116.73,262.68,0,13.7,52.68,83.67,33.83,6.98,41.91,116.07,7.93,26.07,15.43,21.54,39.18,0.11,8.56,74.91,38.06,4.27,10.04,0.29,111.06,1.05,68.14,83.55,46.52,796.48,3.03,0,48.35
MBC.MBCProject_LDCbC8t9.Tumor.SM.GQCEB,10.9,1.65,5.41,16.01,3.48,4.6,5.36,1.86,46.03,7.61,5.14,104.45,6.09,0.67,2.15,22.9,23.54,241.11,6.75,11.52,3.23,19.08,6.03,8.13,119.7,16.07,2.4,95.82,20.47,4.19,11.53,5.66,6.24,9.69,0.32,2.23,30.76,6.17,3.72,6.96,5.02,18.42,9.3,3.99,13.45,8.23,1.83,1.09,10.42,0.34
MBC.MBCProject_2ViLiZS8.Tumor.SM.DL3Z6,7.85,1.85,16.94,19.11,2.82,32.76,6.17,2.71,101.77,5.67,7.15,169.27,7.34,1.75,1.1,41.69,21.26,216.62,5.59,37.28,57.65,115.96,5.74,9.38,90.36,23.9,2.11,115.77,148.13,15.76,3.57,7.65,8.22,20.37,0.93,1.2,13.31,5.32,53.08,23.74,14.53,15.02,2.7,6.8,8.61,7.46,46.42,17.59,80.92,2.27
MBC.MBCProject_QNs8uGhM.Tumor.SM.GQCB6,18.63,0.83,4.55,9.19,6.12,13.74,3.94,4.69,128.15,13.38,5.9,72.53,12.48,0.29,1.01,25.84,30.79,600.96,4.11,35.02,9.46,48.56,7.71,18.3,149.46,13.46,4.51,342.28,50.92,5.93,3.68,11.64,3.42,17.64,1.28,1.02,25.88,9.44,8.48,15.66,8.26,48.77,6.32,14.02,15.73,8.7,6.06,3.62,16.98,0.92
MBC.MBCProject_WYHpfXf1.Tumor.SM.GQAFS,16.42,1.44,4.28,8.06,4.59,6.48,5.45,4.87,161.26,12.17,13.52,197.72,19.37,0.27,2.51,35.64,21.6,435.31,6.37,45.33,1.02,50.53,9.29,22.62,139.02,28.88,6.87,183.61,147.75,26.94,5.37,8.27,6.2,23.5,0.94,0.94,16.89,7.06,19.51,20.5,6.36,19.53,5.32,7.85,20.24,3.5,1.41,0.18,9.89,0.24
